id,hr_id,jd_id,resume_id,is_chosen,feedback_pos,feedback_neg,feedback_neutral
1,5,3fd52a34dcea70d0e2900a352539e2d0,25187733,1,,Purchase Executive,"Purchase Planning, Purchase"
2,5,3fd52a34dcea70d0e2900a352539e2d0,16723524,0,Purchase Planning,Purchase Executive,Purchase
3,3,e0716449612e280cd32c6ff60c5b0988,39908485,0,"fabrication drawing, tekla structures, structural design, steel detailing","steel, Design Engineer","detailing, structural detailing"
4,3,e0716449612e280cd32c6ff60c5b0988,81125166,1,"steel, tekla structures, detailing","fabrication drawing, Design Engineer","steel detailing, structural detailing, structural design"
5,3,e0716449612e280cd32c6ff60c5b0988,28815362,1,"steel detailing, fabrication drawing, steel, tekla structures, detailing, structural design",Design Engineer,structural detailing
6,3,e0716449612e280cd32c6ff60c5b0988,10985403,1,"tekla structures, detailing, structural design, structural detailing, steel detailing",Design Engineer,"steel, fabrication drawing"
7,3,e0716449612e280cd32c6ff60c5b0988,24953126,1,"steel, tekla structures",Design Engineer,"detailing, fabrication drawing, structural design, structural detailing, steel detailing"
8,3,e0716449612e280cd32c6ff60c5b0988,11155153,0,"steel, tekla structures, structural detailing",Design Engineer,"detailing, fabrication drawing, structural design, steel detailing"
9,3,5595cef0b6e37568774193537a3ac4c8,56691064,0,"Design engineering, Team management, Engineering Design, Document management system","Substation, Siemens","GIS, AutoCAD"
10,3,5595cef0b6e37568774193537a3ac4c8,96029688,1,"Design engineering, AutoCAD, Analytical",,"Engineering Design, Document management system"
11,3,5595cef0b6e37568774193537a3ac4c8,30968749,1,"Engineering Design, GIS, Substation",Siemens,"Design engineering, Team management, AutoCAD"
12,3,5595cef0b6e37568774193537a3ac4c8,19506295,1,"Substation, Design engineering, GIS",Siemens,"Document management system, Engineering Design, Analytical, AutoCAD, Team management"
13,3,5595cef0b6e37568774193537a3ac4c8,77828437,0,"GIS, Design engineering, Substation, Team management, Document management system",Siemens,AutoCAD
14,2,8fdbcf44bfb0880a14fd8ecf2bd29c49,29075857,1,SAP SCM,,"Team Lead, Technical Lead"
15,2,8fdbcf44bfb0880a14fd8ecf2bd29c49,27536013,1,SAP SCM,,"Team Lead, Technical Lead"
16,2,8fdbcf44bfb0880a14fd8ecf2bd29c49,26579709,0,"SAP SCM, Team Lead, Technical Lead",,
17,2,887e1b954029b9c8e78bff4ac3497547,27606527,1,"Team Lead/Technical Lead, Alm, Manual Testing",Regression Testing,"User Acceptance Testing, Quality Center, Functional Testing"
18,2,887e1b954029b9c8e78bff4ac3497547,29075857,1,"Regression Testing, Functional Testing",,"Team Lead/Technical Lead, User Acceptance Testing, Manual Testing, Alm, Quality Center"
19,2,887e1b954029b9c8e78bff4ac3497547,12472574,0,"Team Lead/Technical Lead, Alm, Regression Testing, User Acceptance Testing",,"Quality Center, Manual Testing, Functional Testing"
20,8,97e7d1a5f2a63580f8f58e3487c450ee,16332348,0,resource management,,"communication skills, analytical skills, written communication"
21,6,062e8f97d30dd04161931595b1cb94bf,34304175,1,"Logistics, Stock, Inventory Management","Warehouse, Inventory","Stores, Logistics Manager, Warehouse Management, Dispatch"
22,8,97e7d1a5f2a63580f8f58e3487c450ee,11887930,0,"written communication, communication skills",,"analytical skills, resource management"
23,6,062e8f97d30dd04161931595b1cb94bf,25187733,1,"Dispatch, Warehouse Management, Warehouse, Stock",Inventory,"Inventory Management, Logistics Manager, Logistics"
24,6,062e8f97d30dd04161931595b1cb94bf,32799518,0,"Dispatch, Warehouse, Logistics Manager, Stores, Inventory",Logistics,"Stock, Inventory Management, Warehouse Management"
25,8,139907a5d86d6d5dc973c58e6c01c464,18824120,1,"balance sheet, fund management, financial auditing, taxation, Finance/Budgeting Manager",,"finance, financial reporting, financial planning, business planning, financial analysis"
26,8,139907a5d86d6d5dc973c58e6c01c464,14287992,1,taxation,,"finance, financial planning, fund management, business planning, financial auditing, balance sheet, financial reporting"
27,8,139907a5d86d6d5dc973c58e6c01c464,59450123,1,taxation,,"financial analysis, fund management, finance, financial reporting, business planning, financial planning, financial auditing, balance sheet"
28,8,139907a5d86d6d5dc973c58e6c01c464,26530575,0,"taxation, Finance/Budgeting Manager, balance sheet, fund management",,"finance, financial auditing, business planning, financial analysis, financial reporting"
29,6,d2d8ddb70ed0fbd903f5c4e832bce72b,34304175,0,"Fleet Management, Transportation, Logistics Manager",,Logistics Operations
30,6,d2d8ddb70ed0fbd903f5c4e832bce72b,17704246,0,"Fleet Management, Transportation, Logistics Manager, Logistics Operations",,
31,10,9126c9a259983b8471a2c8f8313f8c11,20082776,1,,Tally ERP,"Accounting, Taxation, Accounts Executive/Accountant"
32,10,9126c9a259983b8471a2c8f8313f8c11,29050809,1,Accounting,"Tally ERP, Accounts Executive/Accountant",Taxation
33,10,9126c9a259983b8471a2c8f8313f8c11,20393721,0,,Accounting,"Taxation, Tally ERP, Accounts Executive/Accountant"
34,10,419b36c37f46c963607e03f2c60ef3b8,14470533,1,,"Book Keeping, Accountant, Accounts Executive, Reconciliation","Service tax, Financial statements, Income tax return, Sales tax, Cash management, Balance Sheet"
35,10,419b36c37f46c963607e03f2c60ef3b8,21338490,1,Service tax,Cash management,"Sales tax, Reconciliation, Book Keeping, Income tax return, Balance Sheet, Financial statements, Accountant"
36,10,419b36c37f46c963607e03f2c60ef3b8,20082776,1,,,"Financial statements, Accountant, Service tax, Accounts Executive, Income tax return, Cash management, Book Keeping, Reconciliation, Sales tax, Balance Sheet"
37,10,419b36c37f46c963607e03f2c60ef3b8,34816637,0,"Balance Sheet, Service tax",,"Sales tax, Income tax return, Reconciliation, Book Keeping, Cash management, Accountant, Accounts Executive, Financial statements"
38,5,666d165e4ad34dbe663d261cf6715135,16723524,1,"commodities, accounting, electronics",,"purchase, site inspection"
39,5,666d165e4ad34dbe663d261cf6715135,23782450,0,"purchase, accounting, commodities",,
40,12,e41fc71a4bb8596110f36a8c61830584,18067556,1,"Business process, Service operations, Automation, Supply chain operations, Supply chain solutions",Analytics,"Analytical skills, Analytical"
41,12,e41fc71a4bb8596110f36a8c61830584,16723524,0,"Macros, Business process, Service operations, Automation, Analytical skills, Analytical, Supply chain solutions",Supply chain operations,Analytics
42,12,e68f2a8900ba474d62c88d9b72111ae0,19473948,1,"BPO, Outbound, SEO, English",,"Voice process, Website sales, Time"
43,12,e68f2a8900ba474d62c88d9b72111ae0,36904300,0,"Voice process, English, Outbound, BPO, Outbound calling, Time, SEO",,Website sales
44,1,6008ec86f4fe4bbf23ce6ee2c76c616f,18354623,1,SEO Specialist,,"SEO, Search Engine Optimization, Search Engine Optimisation"
45,1,6008ec86f4fe4bbf23ce6ee2c76c616f,18488289,0,"Search Engine Optimization, Search Engine Optimisation",,"SEO Specialist, SEO"
46,18,b5722ff2002c961e43dc2df7bb49c819,18293620,1,"OD, SME, Working Capital",,"Term loan, Cash Credit, Sales, BD Manager"
47,18,b5722ff2002c961e43dc2df7bb49c819,20977412,1,"Cash Credit, SME, OD",,"BD Manager, Sales, Working Capital, Term loan, cc"
48,18,b5722ff2002c961e43dc2df7bb49c819,34185495,1,"Sales, OD",,"BD Manager, Cash Credit, Working Capital, SME, Term loan, cc"
49,18,b5722ff2002c961e43dc2df7bb49c819,14585273,0,"OD, SME, Cash Credit, Sales, BD Manager",,"cc, Term loan, Working Capital"
50,18,9ee093ad3cd0f85a615cd1170d08fa8b,31761591,1,,,"Sales, Store Operations, Territory Manager, Store Manager, City Manager, Retail Operations, Territory Sales Manager, Cluster Manager, Sales / BD Manager, Operations"
51,18,9ee093ad3cd0f85a615cd1170d08fa8b,40987524,1,City Manager,,"Sales, Store Operations, Territory Manager, Store Manager, Retail Operations, Territory Sales Manager, Operations, Cluster Manager, Sales / BD Manager"
52,18,9ee093ad3cd0f85a615cd1170d08fa8b,20457611,0,"Sales, Store Operations, Territory Manager, City Manager, Retail Operations",,"Store Manager, Territory Sales Manager, Operations, Cluster Manager, Sales / BD Manager"
53,16,6256a882367546bdca3dc5e6e9be8a52,3547447,1,"home loans, housing loan, Branch Manager",,"mortgages, home finance"
54,16,6256a882367546bdca3dc5e6e9be8a52,34185495,1,home finance,,"Branch Manager, home loans, housing loan"
55,16,6256a882367546bdca3dc5e6e9be8a52,19920687,1,"housing loan, home finance, home loans",,"Branch Manager, mortgages"
56,16,6256a882367546bdca3dc5e6e9be8a52,18824120,1,"Branch Manager, housing loan, home loans",,"home finance, mortgages"
57,16,6256a882367546bdca3dc5e6e9be8a52,14585273,1,Branch Manager,home finance,"mortgages, housing loan, home loans"
58,16,6256a882367546bdca3dc5e6e9be8a52,20457611,0,"housing loan, Branch Manager, mortgages, home loans, home finance",,
59,16,60b9f4380d9fa9308c62b7f6550042d2,87867370,1,"Banking, CMS",,"Sales, Regional Manager"
60,16,60b9f4380d9fa9308c62b7f6550042d2,18208580,1,"CMS, Regional Manager, Banking",,Sales
61,16,60b9f4380d9fa9308c62b7f6550042d2,20977412,1,CMS,Regional Manager,"Sales, Banking"
62,16,60b9f4380d9fa9308c62b7f6550042d2,80679862,0,"Regional Manager, Sales, Banking",,CMS
63,15,90d762e1ec51c95f363a73925ef2e925,23323001,1,"program management, Business Analyst, Business Planning",cross functional coordination,"MS Office, PMO, Stakeholder Management"
64,15,90d762e1ec51c95f363a73925ef2e925,32563518,1,"program management, Business Analyst, Business Planning",cross functional coordination,"MS Office, PMO, Stakeholder Management"
65,15,90d762e1ec51c95f363a73925ef2e925,26695839,0,"PMO, Business Planning, Business Analyst, program management",cross functional coordination,"MS Office, Stakeholder Management"
66,13,909bcc00885a2f20320ea75a72629888,18067556,1,"agile, cloud computing, azure, gcp",,"project management, senior management, proposals, aws, Technical Project Manager, Project Manager-IT/Software"
67,13,909bcc00885a2f20320ea75a72629888,21283365,0,"agile, cloud computing, azure, aws, gcp",,"project management, senior management, proposals, Technical Project Manager, Project Manager-IT/Software"
68,13,4b7d930f128df4623d49c948ed68d378,61677751,0,"Project Management, Program Management, eCommerce, Project Manager-IT/Software",,
69,13,4b7d930f128df4623d49c948ed68d378,20457611,0,"PMO, Project Management, Program Management, eCommerce, Project Manager-IT/Software",,
70,4,670edaacb3d33693bb76b00c2d546b8c,18354623,1,"Web Technologies, SEO, SEM, Webmaster","Link Building, Web Promotion","Team Building, Social Media Marketing"
71,4,670edaacb3d33693bb76b00c2d546b8c,18488289,1,"SEO, Web Technologies","Social Media Marketing, Team Building","SEM, Link Building, Web Promotion, Webmaster"
72,4,670edaacb3d33693bb76b00c2d546b8c,81508860,0,Social Media Marketing,,"Webmaster, Web Promotion, Team Building"
73,4,bb5817b3cba245c6d5705065ac3c866a,19796840,0,,"business partnering, Technical Support Engineer","vendor management, stock management, due diligence, process enhancement, vendor relations"
74,4,bb5817b3cba245c6d5705065ac3c866a,12923795,0,"risk assessment, due diligence, process enhancement, business partnering, vendor relations, Technical Support Engineer",stock management,vendor management
75,11,45b686c8bd893bbb0dec0a656bf99886,40987524,1,"Sales Process, Sales Planning",,"People Management Skills, Sales Management, Performance Monitoring"
76,11,45b686c8bd893bbb0dec0a656bf99886,31761591,0,"Sales Management, Interviewing, Sales Planning, Construction-Specialty",Sales Process,People Management Skills
77,11,5a0b6144de3638922ea924285f6e3573,25608963,1,"Manager, Supply Chain",Manufacturing,"Production, Maintenance, Construction Management"
78,11,5a0b6144de3638922ea924285f6e3573,93988900,0,"Production, Manufacturing, Manager, Maintenance, Supply Chain, Business Intelligence",,Construction Management
79,17,80cb6eb33896f132473f41dd831a7bcf,30862904,0,"trainee, bca fresher, bba fresher, entry level, mba fresher, internship",,"hr, recruitment, hr executive"
80,17,80cb6eb33896f132473f41dd831a7bcf,17412079,1,"trainee, bca fresher, bba fresher, entry level, mba fresher, internship, hr executive",,"hr, recruitment"
81,17,80cb6eb33896f132473f41dd831a7bcf,49937469,1,"trainee, bca fresher, bba fresher, entry level, mba fresher, internship",,"hr, recruitment, hr executive"
82,17,80cb6eb33896f132473f41dd831a7bcf,25824789,1,"trainee, bca fresher, bba fresher, recruitment, entry level, mba fresher, internship",,"hr, hr executive"
83,17,80cb6eb33896f132473f41dd831a7bcf,17812897,1,"internship, mba fresher, entry level, bba fresher, bca fresher, trainee",,"hr executive, recruitment, hr"
84,17,80cb6eb33896f132473f41dd831a7bcf,34554248,1,"trainee, bca fresher, bba fresher, entry level, mba fresher, internship",,"hr, recruitment, hr executive"
85,17,80cb6eb33896f132473f41dd831a7bcf,38291889,0,"trainee, bca fresher, bba fresher, entry level, mba fresher, internship",,"recruitment, hr, hr executive"
86,17,d053cadfc7982c42ba5f44638ee4b80d,27219200,0,"Training Manager, Relationship management",,"Area sales, CRM, Retail sales, debit, Helpdesk, MIN"
87,17,d053cadfc7982c42ba5f44638ee4b80d,20255404,1,,,"Area sales, Retail sales, CRM, Training Manager, debit, Helpdesk, MIN, Relationship management"
88,17,d053cadfc7982c42ba5f44638ee4b80d,18293620,1,,,"Training Manager, CRM, Retail sales, debit, Area sales, Helpdesk, MIN, Relationship management"
89,17,d053cadfc7982c42ba5f44638ee4b80d,33072201,0,Training Manager,,"Relationship management, MIN, Helpdesk, Area sales, debit, Retail sales, CRM"
90,7,c0528d6fc9676859e0d2199ff63e69f3,14140903,1,"Analytical chemistry, Biotechnology",Animal handling,"Biochemistry, Nutrition, Formulation"
91,7,c0528d6fc9676859e0d2199ff63e69f3,55712978,1,Formulation,,"Analytical chemistry, Biotechnology, Nutrition, Animal handling"
92,7,c0528d6fc9676859e0d2199ff63e69f3,17987433,0,"Analytical chemistry, Biotechnology, Biochemistry",,"Nutrition, Formulation, Animal handling"
93,7,b3423ae4dd3099ec6973aaec751bc7fa,25425322,1,"mould design, design & development",project planning,"injection moulding, scheduling, Product Design, new product development, Product Development Executive"
94,7,b3423ae4dd3099ec6973aaec751bc7fa,11155153,1,"scheduling, Product Design",mould design,"injection moulding, project planning, new product development, design & development, Product Development Executive"
95,7,b3423ae4dd3099ec6973aaec751bc7fa,13774329,0,"scheduling, project planning, Product Design, new product development, Product Development Executive",,"injection moulding, mould design, design & development"
96,9,1dff1240e024a93a519acc24a4e793e3,17704246,1,,,"Safety training, Host/Hostess, Hostess, Management, Supervisor, Monitoring"
97,9,1dff1240e024a93a519acc24a4e793e3,19037403,0,"Safety training, Monitoring",,"Management, Supervisor, Hostess, Host/Hostess"
98,9,9e8753028c4f2d8c90cfc2ebf034aff8,48580330,1,indian curry,,"dominos, continental cook, Chef, commis chef, hotel, Commis"
99,9,9e8753028c4f2d8c90cfc2ebf034aff8,10276858,1,indian curry,,"Cooking, continental cook, Chef, commis chef, Commis, hotel"
100,9,9e8753028c4f2d8c90cfc2ebf034aff8,14569498,0,indian curry,,"Chef, commis chef, continental cook, Cooking"
101,19,5ce876de6f5212d00c572679612b3185,20255404,1,Video Conferencing,Entry Level,"Sales Management, Sales Training, Training Management, Product Launch, Learning, Sales Trainer"
102,19,5ce876de6f5212d00c572679612b3185,12695799,0,"Sales Management, Product Launch, Training Management, Video Conferencing","Entry Level, Sales Training","Learning, Sales Trainer, Marketing"
103,19,fd8545c098da16302a08afacb85ffe5a,65708020,1,"customer profiling, sales executive, marketing executive",distributors,"Telesales/Telemarketing Executive/Officer, sales strategy, market research"
104,19,fd8545c098da16302a08afacb85ffe5a,18293620,0,"Business Development, customer profiling, market research","marketing executive, distributors","Telesales/Telemarketing Executive/Officer, sales executive"
105,15,1d8856c100430790d085a22836097a93,18448085,1,"Data Visualization, Database Design, Pattern Recognition, SQL",,"R, Machine Learning, Data Modeling, Predictive Modeling, Python, Data Analyst"
106,21,f5a84ad612bed1b5d574b9bc3ddb9d74,31273310,1,"Business Development Executive, Web technologies",Sales Executive/Officer,"Time management, Mobile applications, E-commerce"
107,15,1d8856c100430790d085a22836097a93,12351749,1,"Machine Learning, Data Modeling, Predictive Modeling, Pattern Recognition, SQL, Data Analyst, R, Database Design, Data Visualization",,Python
108,21,f5a84ad612bed1b5d574b9bc3ddb9d74,18293620,0,"Time management, Mobile applications, Web technologies",,"Business Development Executive, E-commerce, Sales Executive/Officer"
109,15,1d8856c100430790d085a22836097a93,22946204,0,"Pattern Recognition, R, Database Design, Data Visualization, Data Analyst",Data Modeling,"Machine Learning, Python, Predictive Modeling, SQL"
110,21,5b356ef11da81fb8a69bf7703f305c0c,31395742,0,"Home automation, Electrical engineering",Troubleshooting,"Cables, System integration, Access control, Security systems, Security, Installation, Electronics"
111,21,5b356ef11da81fb8a69bf7703f305c0c,23085604,0,"Cables, Home automation, Access control, Security systems, Security, Installation",Electronics,"System integration, Electrical engineering, Troubleshooting"
112,14,5ac98ee77ad4f9736023275a6c0bd567,25949631,1,Freshers,,"Primary Research, Follow Ups"
113,14,5ac98ee77ad4f9736023275a6c0bd567,49937469,0,"Follow Ups, Freshers",,Primary Research
114,14,ad9154de1b39bf3d3020db695a5923b6,10399912,1,"Field Work, Field Support",,"Stock Inventory, Auditing, Stock Audit"
115,14,ad9154de1b39bf3d3020db695a5923b6,19796840,1,,Field Work,"Auditing, Stock Audit, Stock Inventory, Field Support"
116,14,ad9154de1b39bf3d3020db695a5923b6,47487091,0,"Stock Audit, Field Support",Field Work,"Auditing, Stock Inventory"
117,1,e2d0bfae6540eb6668f48ab7f2c207fb,94492380,1,Google Analytics,"Social Media, Youtube, Twitter","Brand Marketing, Marketing Management, Digital Marketing, Social Media Marketing Manager"
118,1,e2d0bfae6540eb6668f48ab7f2c207fb,18354623,0,"Marketing Management, Google Analytics","Youtube, Social Media Marketing Manager","Digital Marketing, Twitter, Social Media, Brand Marketing"
119,23,3ba2f57428a53207f64d9076d08a7ea7,13574264,1,"maintaining, customer service",,"Sales/Business Development Manager, business development, business developer, closing, online marketing, internet marketing"
120,23,3ba2f57428a53207f64d9076d08a7ea7,25949631,0,"closing, maintaining",e mail marketing,"online marketing, internet marketing, customer service, business development"
121,23,fa0cd2f95b9fcc03933492b56c8c74b4,18293620,1,e-commerce,Sales Executive/Officer,"marketing executive, cold calling, business development executive, business development, sales executive"
122,23,fa0cd2f95b9fcc03933492b56c8c74b4,23810469,1,"business development executive, sales executive",,"e-commerce, marketing executive, cold calling, business development, Sales Executive/Officer"
123,23,fa0cd2f95b9fcc03933492b56c8c74b4,27080812,0,"marketing executive, cold calling, sales executive, Sales Executive/Officer",,"e-commerce, business development executive, business development"
124,22,e24136d768f0eda3e8967f58fea7e453,70528646,0,"Crane Operator, Foreman",Technician,"Forklift Operator, Forklift, Workman"
125,22,e24136d768f0eda3e8967f58fea7e453,33023370,1,"Crane Operator, Workman",Technician,"Forklift Operator, Forklift, Foreman"
126,22,e24136d768f0eda3e8967f58fea7e453,20565849,0,"Crane Operator, Forklift Operator, Technician",,"Foreman, Workman, Forklift"
127,22,2e8b5374d5ccf10213794a3423d24966,10712803,1,,,"Maintenance Management, Hydraulics, PLC, Pneumatics, Service/Maintenance Engineer"
128,22,2e8b5374d5ccf10213794a3423d24966,68216398,0,"Maintenance Management, Hydraulics, PLC, Pneumatics",,Service/Maintenance Engineer
129,20,42a4be5ea2e112765a4e2e26bdae00b0,15620421,1,"access controls, Asset Management","Help Desk, Customer Service","customer relationship, Vendor Management"
130,20,42a4be5ea2e112765a4e2e26bdae00b0,19243556,0,"Senior Art Director, Art Director, customer relationship, access controls, Help Desk",,"Asset Management, Vendor Management"
131,20,bb383963b5d7394e4d54c6a4f8dfb0cd,99561379,1,Interaction design,,"Graphic Designer, Cost"
132,20,bb383963b5d7394e4d54c6a4f8dfb0cd,28629430,1,Cost,,"Interaction design, Graphic Designer"
133,20,bb383963b5d7394e4d54c6a4f8dfb0cd,21916744,0,"Cost, Interaction design",Graphic Designer,
134,24,9699aac19d02d87e39a4f880169750c8,20457611,1,Business Executive,,"Administration, Scheduling, Operations, Manager"
135,24,9699aac19d02d87e39a4f880169750c8,34554248,1,,,"Sr Manager, Manager, Business Executive, Operations, Scheduling"
136,24,9699aac19d02d87e39a4f880169750c8,36269672,0,"Scheduling, Operations, Sr Manager",,"Administration, Business Executive, Manager"
137,25,d0a2a681f4e3c60b026079d6036bd3bc,16226743,1,"contract manufacturing, business development",Export Marketing,"International Marketing Manager, international sales, international marketing, international business"
138,25,d0a2a681f4e3c60b026079d6036bd3bc,15790602,0,"contract manufacturing, international marketing, international business, International Marketing Manager",,"international sales, business development, Export Marketing"
139,24,4ed575865583bf6a607a22f8a9b0fc66,20736486,0,"computer operator, office coordinator, back office executive, Back Office Management, office assistance, Executive/ Sr Executive - Administration",,"office assistant, back office"
140,24,4ed575865583bf6a607a22f8a9b0fc66,29329075,1,"Back Office Management, back office executive, back office, Executive/ Sr Executive - Administration",,"office coordinator, office assistant, office assistance"
141,25,87abc3a22e0773e72d7e6744f2ddcd53,27298953,0,"Social media, Monitoring, Client satisfaction, Consumer insights, Relationship Management, Business Executive, Client management, Business Alliances Manager",,"digital campaigns, Manager Client Servicing"
142,25,87abc3a22e0773e72d7e6744f2ddcd53,70750649,1,"Consumer insights, Business Executive, Monitoring, Manager Client Servicing",,"Social media, Client satisfaction, Client management, Relationship Management, digital campaigns, Business Alliances Manager"
143,25,87abc3a22e0773e72d7e6744f2ddcd53,12085736,1,"Monitoring, Client satisfaction, Consumer insights, Business Executive, Client management, Business Alliances Manager",digital campaigns,"Social media, Manager Client Servicing, Relationship Management"
144,25,87abc3a22e0773e72d7e6744f2ddcd53,59696315,1,"Social media, digital campaigns, Business Executive",,"Monitoring, Client satisfaction, Consumer insights, Manager Client Servicing, Relationship Management, Client management, Business Alliances Manager"
145,25,87abc3a22e0773e72d7e6744f2ddcd53,27004930,0,"Relationship Management, Social media, Monitoring, Consumer insights, digital campaigns, Manager Client Servicing, Business Alliances Manager, Client management",,"Business Executive, Client satisfaction"
146,24,4ed575865583bf6a607a22f8a9b0fc66,18669563,1,"computer operator, Executive/ Sr Executive - Administration",,"office assistant, office coordinator, back office, back office executive, Back Office Management, office assistance"
147,24,4ed575865583bf6a607a22f8a9b0fc66,16103783,0,Executive/ Sr Executive - Administration,,"office coordinator, office assistant, back office, back office executive, Back Office Management, office assistance"